"","Symptomatic tests","Border tests 1 and 2","Quarantine- and random tests","deCODE Genetics screening"
"28.02.20"
"29.02.20"
"01.03.20"
"02.03.20"
"03.03.20"
"04.03.20"
"05.03.20"
"06.03.20"
"07.03.20"
"08.03.20"
"09.03.20"
"10.03.20"
"11.03.20"
"12.03.20"
"13.03.20"
"14.03.20"
"15.03.20","","","","0,94%"
"16.03.20","","","","0,71%"
"17.03.20","","","","0,58%"
"18.03.20","","","","0,57%"
"19.03.20","","","","1,87%"
"20.03.20","","","","1,23%"
"21.03.20","","","","6,67%"
"22.03.20","","","","0,00%"
"23.03.20","","","","0,00%"
"24.03.20","","","","0,43%"
"25.03.20","","","","0,47%"
"26.03.20","","","","0,99%"
"27.03.20","","","","0,58%"
"28.03.20","","","","0,41%"
"29.03.20","","","","1,02%"
"30.03.20","","","","0,22%"
"31.03.20","","","","1,38%"
"01.04.20","","","","0,73%"
"02.04.20","","","","0,54%"
"03.04.20","","","","1,88%"
"04.04.20","","","","0,85%"
"05.04.20","","","","0,93%"
"06.04.20","","","","0,11%"
"07.04.20","","","","0,08%"
"08.04.20","","","","0,20%"
"09.04.20","","","","0,11%"
"10.04.20","","","","1,24%"
"11.04.20","","","","0,50%"
"12.04.20","","","","0,00%"
"13.04.20","","","","0,00%"
"14.04.20","","","","0,46%"
"15.04.20","","","","0,21%"
"16.04.20","","","","0,21%"
"17.04.20","","","","0,16%"
"18.04.20","","","","0,42%"
"19.04.20","","","","0,35%"
"20.04.20","","","","0,17%"
"21.04.20","","","","0,76%"
"22.04.20","","","","0,46%"
"23.04.20","","","","0,00%"
"24.04.20","","","","0,16%"
"25.04.20","","","","0,00%"
"26.04.20","","","","0,00%"
"27.04.20","","","","0,00%"
"28.04.20","","","","0,25%"
"29.04.20","","","","0,00%"
"30.04.20","","","","0,00%"
"01.05.20","","","","0,00%"
"02.05.20","","","","0,27%"
"03.05.20","","","","0,00%"
"04.05.20","","","","0,00%"
"05.05.20","","","","0,00%"
"06.05.20","","","","0,27%"
"07.05.20","","","","0,00%"
"08.05.20","","","","0,00%"
"09.05.20","","","","0,00%"
"10.05.20","","","","0,00%"
"11.05.20","","","","0,00%"
"12.05.20","","","","0,00%"
"13.05.20","","","","0,00%"
"14.05.20","","","","0,00%"
"15.05.20","","","","0,00%"
"16.05.20","","","","0,00%"
"17.05.20","","","","0,00%"
"18.05.20","","","","0,00%"
"19.05.20","","","","0,28%"
"20.05.20","","","","0,00%"
"21.05.20","","","","0,00%"
"22.05.20","","","","0,29%"
"23.05.20","","","","0,00%"
"24.05.20","","","","0,00%"
"25.05.20","","","","0,00%"
"26.05.20","","","","0,27%"
"27.05.20","","","","0,00%"
"28.05.20","","","","0,00%"
"29.05.20","","","","0,22%"
"30.05.20","","","","0,00%"
"31.05.20","","","","0,00%"
"01.06.20","","","","0,00%"
"02.06.20","","","","0,00%"
"03.06.20","","","","0,00%"
"04.06.20","","","","0,00%"
"05.06.20","","","","0,23%"
"06.06.20","","","","0,00%"
"07.06.20","","","","0,00%"
"08.06.20","","","","0,00%"
"09.06.20","","","","0,00%"
"10.06.20","","","","0,00%"
"11.06.20","","","","0,00%"
"12.06.20","","","","5,56%"
"13.06.20","","","","0,00%"
"14.06.20","","","","0,00%"
"15.06.20","","0,47%","","0,00%"
"16.06.20","","0,17%","","0,00%"
"17.06.20","","0,17%","","0,00%"
"18.06.20","","0,13%","","0,00%"
"19.06.20","","0,40%","","0,00%"
"20.06.20","","0,11%","","0,00%"
"21.06.20","","0,00%","","0,00%"
"22.06.20","","0,09%","","0,00%"
"23.06.20","","0,28%","","0,00%"
"24.06.20","","0,50%","","0,00%"
"25.06.20","","0,12%","","0,00%"
"26.06.20","","0,20%","","0,00%"
"27.06.20","","0,21%","","0,00%"
"28.06.20","","0,07%","","0,00%"
"29.06.20","","0,07%","","0,25%"
"30.06.20","","0,23%","","0,00%"
"01.07.20","","0,27%","","0,00%"
"02.07.20","","0,11%","","0,00%"
"03.07.20","","0,34%","","0,00%"
"04.07.20","","0,17%","","0,00%"
"05.07.20","","0,15%","","0,00%"
"06.07.20","","0,53%","","0,00%"
"07.07.20","","0,42%","","0,00%"
"08.07.20","","0,15%","","0,00%"
"09.07.20","","0,19%","","0,00%"
"10.07.20","","0,16%","","0,00%"
"11.07.20","","0,44%","","0,00%"
"12.07.20","","0,14%","","0,00%"
"13.07.20","","0,27%","","0,00%"
"14.07.20","","0,30%","","0,00%"
"15.07.20","","0,16%","","0,00%"
"16.07.20","","0,19%","","0,00%"
"17.07.20","","0,41%","","0,00%"
"18.07.20","","0,58%","","0,00%"
"19.07.20","","0,08%","","0,00%"
"20.07.20","","0,12%","","0,00%"
"21.07.20","","0,00%","","0,00%"
"22.07.20","","0,05%","","0,00%"
"23.07.20","","0,06%","","0,00%"
"24.07.20","","0,06%","","0,00%"
"25.07.20","","0,15%","","0,00%"
"26.07.20","","0,00%","","0,00%"
"27.07.20","","0,06%","","0,00%"
"28.07.20","","0,06%","","0,00%"
"29.07.20","","0,13%","","0,51%"
"30.07.20","","0,22%","","0,11%"
"31.07.20","","0,08%","","0,00%"
"01.08.20","","0,00%","","0,00%"
"02.08.20","","0,05%","","0,00%"
"03.08.20","","0,09%","","0,00%"
"04.08.20","","0,09%","","0,00%"
"05.08.20","","0,09%","","0,61%"
"06.08.20","","0,21%","","1,26%"
"07.08.20","","0,12%","","0,00%"
"08.08.20","","0,05%","","0,00%"
"09.08.20","","0,07%","","3,39%"
"10.08.20","","0,16%","","0,00%"
"11.08.20","","0,00%","","0,00%"
"12.08.20","","0,16%","","0,00%"
"13.08.20","","0,28%","","0,00%"
"14.08.20","","0,14%","","0,00%"
"15.08.20","","0,06%","","0,00%"
"16.08.20","","0,35%","","0,00%"
"17.08.20","","0,26%","","0,00%"
"18.08.20","","0,19%","","0,00%"
"19.08.20","","0,19%","","0,00%"
"20.08.20","","0,15%","","0,00%"
"21.08.20","","0,17%","","1,27%"
"22.08.20","","0,28%","","0,00%"
"23.08.20","","0,15%","","0,00%"
"24.08.20","","0,23%","","0,00%"
"25.08.20","","0,15%","","0,00%"
"26.08.20","","0,36%","","0,00%"
"27.08.20","","0,00%","","0,00%"
"28.08.20","","0,31%","","0,00%"
"29.08.20","","0,56%","","0,00%"
"30.08.20","","0,14%","","0,00%"
"31.08.20","","0,31%","","0,00%"
"01.09.20","","0,77%","","0,00%"
"02.09.20","","0,22%","","0,00%"
"03.09.20","","0,00%","","0,00%"
"04.09.20","","0,34%","","0,00%"
"05.09.20","","0,26%","","0,00%"
"06.09.20","","0,48%","","0,00%"
"07.09.20","","0,12%","","0,00%"
"08.09.20","","0,58%","","0,00%"
"09.09.20","","0,28%","","0,00%"
"10.09.20","","0,11%","","0,00%"
"11.09.20","","0,00%","","0,00%"
"12.09.20","","0,00%","","0,00%"
"13.09.20","","0,34%","","0,00%"
"14.09.20","","0,19%","","0,00%"
"15.09.20","","0,54%","0,00%","0,74%"
"16.09.20","","0,52%","0,00%","0,15%"
"17.09.20","","0,33%","0,22%","0,06%"
"18.09.20","","0,28%","1,81%","0,32%"
"19.09.20","","0,09%","2,99%","0,00%"
"20.09.20","","0,40%","0,00%","0,00%"
"21.09.20","","0,00%","2,26%","0,11%"
"22.09.20","","0,47%","0,46%","0,08%"
