Date,Hebrew_Country,Positive and vaccinated,Positive and vaccinated (not valid),Positive unvaccinated,Vaccinated residents,Vaccinated(not valid) residents,Unvaccinated residents,Country
2021-09-28,ניו זילנד,0,0,0,0,1,0,New Zealand
2021-09-28,דנמרק,0,0,0,34,0,0,Denmark
2021-09-28,פולין,0,0,0,273,9,0,Poland
2021-09-28,אזרביג'אן,0,0,0,101,5,0,Azerbaijan
2021-09-28,איי סיישל,0,0,0,109,9,0,Seychelles
2021-09-28,איחוד האמירויות הערב,0,0,0,233,15,0,UAE
2021-09-28,אוסטרליה,0,0,0,1,0,0,Australia
2021-09-28,מצרים,3,0,0,3285,382,0,Egypt
2021-09-28,קירג'זסטאן,0,0,0,8,0,0,Kyrgyzstan
2021-09-28,קובה,0,0,0,0,1,0,Cuba
2021-09-28,נמיביה,0,0,0,6,0,0,Namibia
2021-09-28,אנגולה,0,0,0,1,0,0,Angola
2021-09-28,פרו,0,0,0,22,4,0,Peru
2021-09-28,מלדיבים,0,0,0,95,1,0,Maldives
2021-09-28,סין,0,0,0,0,0,0,China
2021-09-28,מונטנגרו,0,0,0,10,1,0,Montenegro
2021-09-28,פינלנד,0,0,0,4,0,0,Finland
2021-09-28,ליטא,0,0,0,21,0,0,Lithuania
2021-09-28,אלבניה,0,0,0,12,0,0,Albania
2021-09-28,שוודיה,0,0,0,10,2,0,Sweden
2021-09-28,פיליפינים,0,0,0,0,0,0,Philippines
2021-09-28,סרביה,0,0,0,19,0,0,Serbia
2021-09-28,אורגוואי,0,0,0,6,0,0,Uruguay
2021-09-28,מרוקו,0,0,0,13,0,0,Morocco
2021-09-28,גווטאמלה,0,0,0,2,4,0,Guatemala
2021-09-28,ספרד,2,0,0,608,25,0,Spain
2021-09-28,מאלי,0,0,0,1,0,0,Mali
2021-09-28,האנטילים ההולנדים,0,0,0,6,0,0,Netherlands Antilles
2021-09-28,אל סלבדור,0,0,0,2,0,0,El Salvador
2021-09-28,שוויץ,0,0,0,282,3,0,Switzerland
2021-09-28,בילורוסיה,0,0,0,0,0,0,Belarus
2021-09-28,קזחסטאן,0,0,0,0,0,0,Kazakhstan
2021-09-28,צכיה,1,0,0,585,31,0,Czech Republic
2021-09-28,מלטה,0,0,0,3,0,0,Malta
2021-09-28,ניגריה,0,0,0,1,0,0,Nigeria
